vector_id,fact_id,inputs,expected,source_refs,verification_status,authoritative
V-MPE-III-500E,STAGE2D_MPE_TABLE6,class=III; context=initial_verification; load=500e,MPE=0.5e,3.5.1 Table 6,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-MPE-III-501E,STAGE2D_MPE_TABLE6,class=III; context=initial_verification; load=501e,MPE=1e,3.5.1 Table 6,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-MPE-III-2001E,STAGE2D_MPE_TABLE6,class=III; context=initial_verification; load=2001e,MPE=1.5e,3.5.1 Table 6,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-MPE-INSERVICE,STAGE2D_MPE_TABLE6,initial_MPE=1e; context=in_service,MPE=2e,3.5.2,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-WEIGH-INITIAL-COUNT,STAGE2D_WEIGHING_A4_4,procedure=initial_intrinsic_error,minimum_distinct_loads=10,A.4.4.1,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-WEIGH-OTHER-COUNT,STAGE2D_WEIGHING_A4_4,procedure=other_weighing_test,minimum_distinct_loads=5,A.4.4.1,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-TEMP-I,STAGE2D_TEMPERATURE_ZERO,class=I,normalization_span=1C; limit=1e,3.9.2.3;A.5.3.2,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-TEMP-III,STAGE2D_TEMPERATURE_ZERO,class=III,normalization_span=5C; limit=1e,3.9.2.3;A.5.3.2,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-ECC-GENERAL,STAGE2D_ECCENTRICITY,Max=24000g; max_additive_tare=0g; case=GENERAL,test_load=8000g,3.6.2.1,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-ECC-5-SUPPORTS,STAGE2D_ECCENTRICITY,Max=24000g; max_additive_tare=0g; supports=5,test_load_per_support=6000g,3.6.2.2,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-ECC-SPECIAL,STAGE2D_ECCENTRICITY,Max=24000g; max_additive_tare=0g; case=SPECIAL_RECEPTOR,test_load=2400g,3.6.2.3,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-DISCR-DIGITAL,STAGE2D_DISCRIMINATION,mode=DIGITAL; d=10g,extra_load=14g; required_change=1d,3.8.2.2;A.4.8.2,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-SENS-III-30KG,STAGE2D_SENSITIVITY,class=III; Max=30000g,minimum_permanent_displacement=2mm,6.1,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-SENS-III-OVER-30KG,STAGE2D_SENSITIVITY,class=III; Max=30001g,minimum_permanent_displacement=5mm,6.1,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-REPEAT-TYPE-500KG,STAGE2D_REPEATABILITY,context=type_approval; Max=500000g,2 series; 10 weighings per series,A.4.10,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-REPEAT-TYPE-2000KG,STAGE2D_REPEATABILITY,context=type_approval; Max=2000000g,2 series; at least 3 weighings per series,A.4.10,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-REPEAT-VERIFY-III,STAGE2D_REPEATABILITY,context=verification; class=III,1 series about 0.8Max; 3 weighings,A.4.10,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
V-REPEAT-VERIFY-II,STAGE2D_REPEATABILITY,context=verification; class=II,1 series about 0.8Max; 6 weighings,A.4.10,DEVELOPER_TRANSCRIBED_PENDING_INDEPENDENT_SIGNOFF,false
