section_number,top_level_code,r76_2_report_section,r76_1_test_refs,evaluator_codes,implementation_owner,regulatory_register_ids,verification_status,activation_allowed,notes
1,WEIGHING_PERFORMANCE,1,A.4.4; A.5.3.1,WEIGHING_PERFORMANCE,app/compliance/weighing.py,REG-01;REG-02;REG-03;REG-04,SOURCE_MAPPED_NOT_VERIFIED,false,R76-2 section 1 explicitly cross-references A.4.4 and A.5.3.1.
2,TEMPERATURE_ZERO,2,A.5.3.2,TEMPERATURE_ZERO,app/compliance/phase8.py,REG-01;REG-02;REG-03;REG-05,SOURCE_MAPPED_NOT_VERIFIED,false,Temperature normalization and boundary operator remain independently unverified.
3,ECCENTRICITY,3.1; 3.2,A.4.7; A.4.7.1-A.4.7.4,ECCENTRICITY,app/compliance/eccentricity.py,REG-01;REG-02;REG-03;REG-06,SOURCE_MAPPED_NOT_VERIFIED,false,Weights and rolling-load variants require separate clause verification.
4,DISCRIMINATION_SENSITIVITY,4.1; 4.2,A.4.8; A.4.9,DISCRIMINATION;SENSITIVITY,app/compliance/phase7.py,REG-01;REG-02;REG-03;REG-07,SOURCE_MAPPED_NOT_VERIFIED,false,Digital discrimination and non-self-indicating sensitivity are distinct procedures.
5,REPEATABILITY,5,A.4.10,REPEATABILITY,app/compliance/repeatability.py,REG-01;REG-02;REG-03;REG-08,SOURCE_MAPPED_NOT_VERIFIED,false,"Series counts, load points and range limit require clause-level verification."
6,TIME_DEPENDENCE,6.1; 6.2,A.4.11.2; A.4.11.1,ZERO_RETURN;CREEP,app/compliance/phase7.py,REG-01;REG-02;REG-03;REG-09,SOURCE_MAPPED_NOT_VERIFIED,false,R76-2 maps zero return to A.4.11.2 and creep to A.4.11.1.
7,STABILITY_EQUILIBRIUM,7,A.4.12,STABILITY_EQUILIBRIUM,app/compliance/phase7.py,REG-01;REG-10,SOURCE_MAPPED_NOT_VERIFIED,false,Functional printing/storage and zero/tare behavior still require exact verification.
8,TILTING,8,A.5.1; A.5.1.1-A.5.1.3,TILTING,app/compliance/phase8.py,REG-01;REG-03;REG-11,SOURCE_MAPPED_NOT_VERIFIED,false,Applicability and mobile/level-device variants remain open.
9,TARE,9,A.4.6.1; A.4.6.2,TARE,app/compliance/tare.py,REG-01;REG-03;REG-12,SOURCE_MAPPED_NOT_VERIFIED,false,R76-2 form is headed A.4.6.1; evaluator also needs tare-accuracy semantics.
10,WARM_UP,10,A.5.2,WARM_UP,app/compliance/phase8.py,REG-01;REG-03;REG-12,SOURCE_MAPPED_NOT_VERIFIED,false,Warm-up prerequisites/checkpoints remain open.
11,VOLTAGE_VARIATION,11,A.5.4,VOLTAGE_VARIATION,app/compliance/phase8.py,REG-01;REG-03;REG-12,SOURCE_MAPPED_NOT_VERIFIED,false,Supply-profile subclauses must be verified independently.
12,ELECTRICAL_DISTURBANCES,12.1-12.7,B.3.1-B.3.7,DISTURBANCE_VOLTAGE_DIP;DISTURBANCE_BURST;DISTURBANCE_SURGE;DISTURBANCE_ESD;DISTURBANCE_RADIATED_RF;DISTURBANCE_CONDUCTED_RF;DISTURBANCE_VEHICLE_SUPPLY,app/compliance/phase10.py,REG-01;REG-13,SOURCE_MAPPED_NOT_VERIFIED,false,"Severity profiles, ports, repetitions and referenced IEC/ISO editions remain open."
13,DAMP_HEAT,13,B.2,DAMP_HEAT,app/compliance/phase9.py,REG-01;REG-03;REG-14,SOURCE_MAPPED_NOT_VERIFIED,false,"Exposure, humidity, stabilization and applicability remain open."
14,SPAN_STABILITY,14,B.4,SPAN_STABILITY,app/compliance/phase9.py,REG-01;REG-03;REG-14,SOURCE_MAPPED_NOT_VERIFIED,false,"Trend, corrections, extension and allowable variation require verification."
15,ENDURANCE,15,A.6,ENDURANCE,app/compliance/phase11.py,REG-01;REG-03;REG-14,SOURCE_MAPPED_NOT_VERIFIED,false,Cycle count and durability-error semantics remain open.
16,CONSTRUCTION_EXAMINATION,16,CLAUSE_LEVEL_EXAMINATION_PENDING,CONSTRUCTION_EXAMINATION,app/services/construction.py,REG-01;REG-15;REG-16,SOURCE_MAPPED_NOT_VERIFIED,false,R76-2 section 16 is identified; requirement-by-requirement R76-1 mapping is Stage 5 work.
17,CHECKLIST,17; 17.1-17.4,CLAUSE_LEVEL_CHECKLIST_PENDING,CHECKLIST,app/services/checklist.py;app/compliance/checklist.py,REG-01;REG-15;REG-16;REG-17,SOURCE_MAPPED_NOT_VERIFIED,false,R76-2 checklist enumerates requirement clauses; full clause/evidence mapping is Stage 5 work.
